"fold","rank","feature"
1,1,"204825_at"
1,2,"204750_s_at"
1,3,"215034_s_at"
1,4,"203702_s_at"
1,5,"210084_x_at"
1,6,"204822_at"
1,7,"210052_s_at"
1,8,"209387_s_at"
1,9,"204400_at"
1,10,"218726_at"
1,11,"205225_at"
1,12,"213134_x_at"
1,13,"202483_s_at"
1,14,"204962_s_at"
1,15,"208650_s_at"
1,16,"205548_s_at"
1,17,"203693_s_at"
1,18,"202134_s_at"
1,19,"220935_s_at"
1,20,"218259_at"
1,21,"217744_s_at"
1,22,"222275_at"
1,23,"200052_s_at"
1,24,"203038_at"
1,25,"217640_x_at"
1,26,"214428_x_at"
1,27,"209421_at"
1,28,"218755_at"
1,29,"221872_at"
1,30,"204315_s_at"
1,31,"209642_at"
1,32,"208451_s_at"
1,33,"219874_at"
1,34,"212956_at"
1,35,"222039_at"
1,36,"209604_s_at"
1,37,"209386_at"
1,38,"203418_at"
1,39,"201755_at"
1,40,"216237_s_at"
1,41,"204751_x_at"
1,42,"209623_at"
1,43,"209680_s_at"
1,44,"206392_s_at"
1,45,"203999_at"
1,46,"218542_at"
1,47,"209747_at"
1,48,"214431_at"
1,49,"202240_at"
1,50,"209204_at"
1,51,"202263_at"
1,52,"216092_s_at"
1,53,"202870_s_at"
1,54,"212099_at"
1,55,"209122_at"
1,56,"204775_at"
1,57,"218902_at"
1,58,"266_s_at"
1,59,"213476_x_at"
1,60,"216603_at"
1,61,"221986_s_at"
1,62,"219051_x_at"
1,63,"222118_at"
1,64,"209772_s_at"
1,65,"201663_s_at"
1,66,"209832_s_at"
1,67,"203397_s_at"
1,68,"201555_at"
1,69,"210074_at"
1,70,"204203_at"
1,71,"205394_at"
1,72,"218211_s_at"
1,73,"220892_s_at"
1,74,"219197_s_at"
1,75,"210024_s_at"
1,76,"209289_at"
1,77,"220238_s_at"
1,78,"205696_s_at"
1,79,"206023_at"
1,80,"212960_at"
1,81,"221864_at"
1,82,"218532_s_at"
1,83,"206373_at"
1,84,"221934_s_at"
1,85,"214440_at"
1,86,"209464_at"
1,87,"206391_at"
1,88,"217924_at"
1,89,"200783_s_at"
1,90,"209408_at"
1,91,"202933_s_at"
1,92,"213032_at"
1,93,"208854_s_at"
1,94,"212419_at"
1,95,"209114_at"
1,96,"206102_at"
1,97,"201088_at"
1,98,"200934_at"
1,99,"219752_at"
1,100,"202808_at"
2,1,"208022_s_at"
2,2,"204750_s_at"
2,3,"210084_x_at"
2,4,"205225_at"
2,5,"203999_at"
2,6,"221524_s_at"
2,7,"205548_s_at"
2,8,"213134_x_at"
2,9,"204825_at"
2,10,"209289_at"
2,11,"209204_at"
2,12,"205696_s_at"
2,13,"203038_at"
2,14,"212960_at"
2,15,"213032_at"
2,16,"209290_s_at"
2,17,"214440_at"
2,18,"219051_x_at"
2,19,"204400_at"
2,20,"212956_at"
2,21,"212099_at"
2,22,"213029_at"
2,23,"202933_s_at"
2,24,"218211_s_at"
2,25,"201231_s_at"
2,26,"216092_s_at"
2,27,"221986_s_at"
2,28,"210735_s_at"
2,29,"212492_s_at"
2,30,"206392_s_at"
2,31,"222275_at"
2,32,"221872_at"
2,33,"206391_at"
2,34,"204775_at"
2,35,"209604_s_at"
2,36,"200718_s_at"
2,37,"204822_at"
2,38,"214431_at"
2,39,"221203_s_at"
2,40,"203693_s_at"
2,41,"203030_s_at"
2,42,"203963_at"
2,43,"210052_s_at"
2,44,"205074_at"
2,45,"202870_s_at"
2,46,"205379_at"
2,47,"204623_at"
2,48,"214164_x_at"
2,49,"202341_s_at"
2,50,"206373_at"
2,51,"214053_at"
2,52,"218259_at"
2,53,"209623_at"
2,54,"218902_at"
2,55,"217744_s_at"
2,56,"215867_x_at"
2,57,"214109_at"
2,58,"201938_at"
2,59,"205347_s_at"
2,60,"202932_at"
2,61,"209644_x_at"
2,62,"219752_at"
2,63,"206754_s_at"
2,64,"222158_s_at"
2,65,"218236_s_at"
2,66,"209122_at"
2,67,"218532_s_at"
2,68,"212265_at"
2,69,"210074_at"
2,70,"206869_at"
2,71,"209832_s_at"
2,72,"209747_at"
2,73,"203930_s_at"
2,74,"219741_x_at"
2,75,"212148_at"
2,76,"204012_s_at"
2,77,"50965_at"
2,78,"221046_s_at"
2,79,"211235_s_at"
2,80,"203256_at"
2,81,"206194_at"
2,82,"220540_at"
2,83,"205009_at"
2,84,"219874_at"
2,85,"221736_at"
2,86,"203929_s_at"
2,87,"203702_s_at"
2,88,"203226_s_at"
2,89,"216237_s_at"
2,90,"210024_s_at"
2,91,"212638_s_at"
2,92,"218394_at"
2,93,"204544_at"
2,94,"212219_at"
2,95,"209386_at"
2,96,"219956_at"
2,97,"219197_s_at"
2,98,"203692_s_at"
2,99,"221934_s_at"
2,100,"200711_s_at"
3,1,"205225_at"
3,2,"212960_at"
3,3,"204750_s_at"
3,4,"203999_at"
3,5,"204825_at"
3,6,"212956_at"
3,7,"202263_at"
3,8,"210052_s_at"
3,9,"203625_x_at"
3,10,"214053_at"
3,11,"204822_at"
3,12,"206373_at"
3,13,"202107_s_at"
3,14,"212099_at"
3,15,"212441_at"
3,16,"214109_at"
3,17,"209204_at"
3,18,"200718_s_at"
3,19,"202870_s_at"
3,20,"209832_s_at"
3,21,"218211_s_at"
3,22,"214428_x_at"
3,23,"209604_s_at"
3,24,"212330_at"
3,25,"203693_s_at"
3,26,"210084_x_at"
3,27,"203126_at"
3,28,"209122_at"
3,29,"219197_s_at"
3,30,"213032_at"
3,31,"208451_s_at"
3,32,"204623_at"
3,33,"218902_at"
3,34,"216092_s_at"
3,35,"200670_at"
3,36,"203130_s_at"
3,37,"213029_at"
3,38,"203702_s_at"
3,39,"209290_s_at"
3,40,"203712_at"
3,41,"209289_at"
3,42,"212492_s_at"
3,43,"206869_at"
3,44,"209173_at"
3,45,"214440_at"
3,46,"211466_at"
3,47,"209644_x_at"
3,48,"209603_at"
3,49,"212692_s_at"
3,50,"204962_s_at"
3,51,"221524_s_at"
3,52,"218009_s_at"
3,53,"202412_s_at"
3,54,"210096_at"
3,55,"213134_x_at"
3,56,"209623_at"
3,57,"209114_at"
3,58,"202589_at"
3,59,"218726_at"
3,60,"200934_at"
3,61,"202413_s_at"
3,62,"204667_at"
3,63,"201755_at"
3,64,"216237_s_at"
3,65,"207039_at"
3,66,"201231_s_at"
3,67,"202240_at"
3,68,"212195_at"
3,69,"214164_x_at"
3,70,"212638_s_at"
3,71,"204162_at"
3,72,"203571_s_at"
3,73,"204400_at"
3,74,"202580_x_at"
3,75,"206194_at"
3,76,"219752_at"
3,77,"219051_x_at"
3,78,"222275_at"
3,79,"218755_at"
3,80,"212196_at"
3,81,"200052_s_at"
3,82,"205548_s_at"
3,83,"204012_s_at"
3,84,"218259_at"
3,85,"210758_at"
3,86,"222039_at"
3,87,"222125_s_at"
3,88,"215867_x_at"
3,89,"206754_s_at"
3,90,"202134_s_at"
3,91,"204767_s_at"
3,92,"212022_s_at"
3,93,"206392_s_at"
3,94,"203418_at"
3,95,"202752_x_at"
3,96,"201795_at"
3,97,"209669_s_at"
3,98,"213260_at"
3,99,"211233_x_at"
3,100,"200750_s_at"
4,1,"204825_at"
4,2,"213032_at"
4,3,"209644_x_at"
4,4,"205225_at"
4,5,"204750_s_at"
4,6,"221986_s_at"
4,7,"210084_x_at"
4,8,"203693_s_at"
4,9,"209289_at"
4,10,"219051_x_at"
4,11,"211084_x_at"
4,12,"213029_at"
4,13,"222039_at"
4,14,"205548_s_at"
4,15,"214431_at"
4,16,"212956_at"
4,17,"200718_s_at"
4,18,"210052_s_at"
4,19,"207039_at"
4,20,"201970_s_at"
4,21,"209290_s_at"
4,22,"206373_at"
4,23,"213134_x_at"
4,24,"214440_at"
4,25,"209386_at"
4,26,"212638_s_at"
4,27,"209421_at"
4,28,"222275_at"
4,29,"209832_s_at"
4,30,"203702_s_at"
4,31,"209204_at"
4,32,"215034_s_at"
4,33,"202107_s_at"
4,34,"211466_at"
4,35,"218211_s_at"
4,36,"221677_s_at"
4,37,"206869_at"
4,38,"202589_at"
4,39,"203066_at"
4,40,"218532_s_at"
4,41,"209604_s_at"
4,42,"206194_at"
4,43,"212099_at"
4,44,"220540_at"
4,45,"204623_at"
4,46,"204315_s_at"
4,47,"212960_at"
4,48,"205696_s_at"
4,49,"221864_at"
4,50,"209173_at"
4,51,"203999_at"
4,52,"219956_at"
4,53,"209408_at"
4,54,"202911_at"
4,55,"206392_s_at"
4,56,"203712_at"
4,57,"203038_at"
4,58,"208451_s_at"
4,59,"212492_s_at"
4,60,"214428_x_at"
4,61,"218236_s_at"
4,62,"204304_s_at"
4,63,"208711_s_at"
4,64,"202870_s_at"
4,65,"218902_at"
4,66,"221872_at"
4,67,"202134_s_at"
4,68,"216237_s_at"
4,69,"206391_at"
4,70,"204493_at"
4,71,"202341_s_at"
4,72,"221524_s_at"
4,73,"202752_x_at"
4,74,"204962_s_at"
4,75,"209781_s_at"
4,76,"204822_at"
4,77,"202035_s_at"
4,78,"204240_s_at"
4,79,"211714_x_at"
4,80,"218350_s_at"
4,81,"208712_at"
4,82,"200052_s_at"
4,83,"202240_at"
4,84,"208190_s_at"
4,85,"208682_s_at"
4,86,"200011_s_at"
4,87,"205009_at"
4,88,"218259_at"
4,89,"201663_s_at"
4,90,"211467_s_at"
4,91,"201930_at"
4,92,"209387_s_at"
4,93,"205379_at"
4,94,"218726_at"
4,95,"201177_s_at"
4,96,"214053_at"
4,97,"200934_at"
4,98,"216685_s_at"
4,99,"201231_s_at"
4,100,"210206_s_at"
5,1,"204750_s_at"
5,2,"209623_at"
5,3,"214440_at"
5,4,"205548_s_at"
5,5,"213134_x_at"
5,6,"212099_at"
5,7,"205225_at"
5,8,"204825_at"
5,9,"203693_s_at"
5,10,"212960_at"
5,11,"212956_at"
5,12,"206194_at"
5,13,"203702_s_at"
5,14,"216092_s_at"
5,15,"203999_at"
5,16,"216603_at"
5,17,"219051_x_at"
5,18,"201938_at"
5,19,"200718_s_at"
5,20,"210024_s_at"
5,21,"209114_at"
5,22,"218211_s_at"
5,23,"204822_at"
5,24,"209781_s_at"
5,25,"206391_at"
5,26,"212638_s_at"
5,27,"214428_x_at"
5,28,"208451_s_at"
5,29,"221524_s_at"
5,30,"202134_s_at"
5,31,"222125_s_at"
5,32,"214164_x_at"
5,33,"209204_at"
5,34,"218236_s_at"
5,35,"206754_s_at"
5,36,"222275_at"
5,37,"210084_x_at"
5,38,"221934_s_at"
5,39,"203963_at"
5,40,"212265_at"
5,41,"218886_at"
5,42,"215867_x_at"
5,43,"210735_s_at"
5,44,"210052_s_at"
5,45,"200934_at"
5,46,"219806_s_at"
5,47,"209604_s_at"
5,48,"219498_s_at"
5,49,"202870_s_at"
5,50,"213032_at"
5,51,"209289_at"
5,52,"201407_s_at"
5,53,"219874_at"
5,54,"201231_s_at"
5,55,"216237_s_at"
5,56,"218868_at"
5,57,"210085_s_at"
5,58,"206392_s_at"
5,59,"209290_s_at"
5,60,"202035_s_at"
5,61,"205074_at"
5,62,"212022_s_at"
5,63,"1438_at"
5,64,"221203_s_at"
5,65,"200011_s_at"
5,66,"218483_s_at"
5,67,"202933_s_at"
5,68,"214109_at"
5,69,"201663_s_at"
5,70,"203929_s_at"
5,71,"218542_at"
5,72,"220295_x_at"
5,73,"218976_at"
5,74,"205081_at"
5,75,"221872_at"
5,76,"218259_at"
5,77,"213029_at"
5,78,"205696_s_at"
5,79,"214431_at"
5,80,"202263_at"
5,81,"204061_at"
5,82,"202412_s_at"
5,83,"203418_at"
5,84,"218726_at"
5,85,"218902_at"
5,86,"204567_s_at"
5,87,"203397_s_at"
5,88,"201930_at"
5,89,"219752_at"
5,90,"200670_at"
5,91,"213249_at"
5,92,"203038_at"
5,93,"218532_s_at"
5,94,"214053_at"
5,95,"204012_s_at"
5,96,"215623_x_at"
5,97,"205569_at"
5,98,"206373_at"
5,99,"204315_s_at"
5,100,"202088_at"
