"seed","is_anchor","leaky_auroc","leaky_pr_auc","leaky_balanced_accuracy","leaky_mcc","leaky_sensitivity","leaky_specificity","guarded_auroc","guarded_pr_auc","guarded_balanced_accuracy","guarded_mcc","guarded_sensitivity","guarded_specificity","gap_auroc","gap_pr_auc","guarded_best_costs","runtime_secs"
20260620,TRUE,0.770506587754526,0.401955112140504,0.554618473895582,0.206251663166225,0.133333333333333,0.975903614457831,0.726484886916085,0.3656385082875,0.579158740224054,0.225031236603378,0.210526315789474,0.947791164658635,0.0440217008384408,0.0363166038530041,"1|4|0.25|0.25|0.25",9.7558000087738
20260621,FALSE,0.764447262735151,0.393392234534672,0.560980765165927,0.214063645632113,0.150877192982456,0.971084337349398,0.747128866342563,0.368205853857426,0.579158740224054,0.225031236603378,0.210526315789474,0.947791164658635,0.0173183963925873,0.0251863806772455,"0.25|0.25|0.25|1|1",9.69606804847717
20260622,FALSE,0.765673219192559,0.392412846931868,0.56423589093215,0.214991806542721,0.16140350877193,0.967068273092369,0.708729655463962,0.382972477025042,0.591946734305644,0.266301265909679,0.228070175438596,0.955823293172691,0.0569435637285973,0.0094403699068259,"1|4|0.25|0.25|4",9.80589318275452
20260623,FALSE,0.767519199605439,0.400591813509011,0.566941450010569,0.2195567308482,0.168421052631579,0.965461847389558,0.718805044740365,0.397340490321186,0.565630944831959,0.202136004093839,0.175438596491228,0.955823293172691,0.048714154865074,0.00325132318782417,"0.25|1|0.25|1|1",10.1340088844299
20260624,FALSE,0.760417107024589,0.393592175255007,0.568843796237582,0.218603968131207,0.175438596491228,0.962248995983936,0.687944761502148,0.295659573142728,0.536038892411752,0.10245080331342,0.140350877192982,0.931726907630522,0.0724723455224413,0.0979326021122795,"1|4|0.25|4|0.25",6.27590203285217
20260625,FALSE,0.754033678573945,0.395096278549083,0.576706827309237,0.226523172247079,0.2,0.953413654618474,0.747481152680898,0.410533106011588,0.541323187486789,0.140471276394719,0.12280701754386,0.959839357429719,0.00655252589304656,-0.0154368274625049,"0.25|1|4|4|0.25",6.49816513061523
20260626,FALSE,0.746438385119425,0.396508519728323,0.573599661805115,0.220243464780654,0.192982456140351,0.95421686746988,0.744028746565209,0.385424013188001,0.572394842528007,0.213804867936281,0.192982456140351,0.951807228915663,0.00240963855421561,0.0110845065403216,"1|0.25|0.25|1|0.25",6.48313498497009
20260627,FALSE,0.754540970901148,0.417039527877051,0.581166772352568,0.235648555036568,0.210526315789474,0.951807228915663,0.760515747199324,0.395681507406849,0.566899175649968,0.241265786297404,0.157894736842105,0.975903614457831,-0.005974776298176,0.0213580204702017,"0.25|0.25|0.25|0.25|1",6.34193992614746
20260628,FALSE,0.750863101528922,0.406062969546997,0.575502008032128,0.219826709485085,0.2,0.951004016064257,0.677517085887409,0.334449667638337,0.567638976960473,0.213091493337733,0.175438596491228,0.959839357429719,0.0733460156415131,0.0716133019086594,"1|4|4|0.25|4",6.5627851486206
20260629,FALSE,0.753202282815472,0.405710520950533,0.572394842528007,0.213316707111507,0.192982456140351,0.951807228915663,0.695554146410202,0.318734326847317,0.546818854364828,0.13309591163591,0.157894736842105,0.93574297188755,0.0576481364052693,0.0869761941032155,"0.25|0.25|1|1|1",6.61707496643066
20260630,FALSE,0.758077925738039,0.411234627360177,0.571697315578102,0.219178419353184,0.185964912280702,0.957429718875502,0.707672796448953,0.347077447386332,0.566370746142465,0.185343819009876,0.192982456140351,0.939759036144578,0.0504051292890861,0.0641571799738454,"0.25|0.25|4|0.25|4",6.71583700180054
20260631,FALSE,0.77380398788135,0.421830910434648,0.561974212640034,0.193542643126628,0.164912280701754,0.959036144578313,0.73057140844078,0.330220132148866,0.558338617628408,0.152759441774849,0.192982456140351,0.923694779116466,0.04323257944057,0.0916107782857827,"1|1|0.25|1|0.25",6.58996510505676
20260632,FALSE,0.762981751567674,0.405777215851599,0.555358275206087,0.17827084182034,0.150877192982456,0.959839357429719,0.737335306136828,0.450353127262573,0.598710632001691,0.275654660756727,0.245614035087719,0.951807228915663,0.0256464454308465,-0.0445759114109743,"0.25|0.25|1|0.25|0.25",6.37907481193542
20260633,FALSE,0.770816599732262,0.424915958603334,0.5572183470725,0.197743585793826,0.147368421052632,0.967068273092369,0.772916226308743,0.39835335519899,0.575142675967026,0.206286007416593,0.210526315789474,0.939759036144578,-0.002099626576481,0.0265626034043434,"0.25|0.25|4|0.25|4",6.61746907234192
20260634,FALSE,0.773987176777284,0.440234532628009,0.561128725428028,0.208832921064256,0.154385964912281,0.967871485943775,0.709997886281968,0.355171767199703,0.538786725850771,0.103112504153519,0.157894736842105,0.919678714859438,0.0639892904953161,0.0850627654283068,"0.25|0.25|0.25|0.25|0.25",6.45829200744629
20260635,FALSE,0.772225745085605,0.436085349836154,0.553709575142676,0.187516586325513,0.140350877192982,0.967068273092369,0.68766293243148,0.303099614208499,0.555590784189389,0.155240205094259,0.175438596491228,0.93574297188755,0.0845628126541254,0.132985735627655,"4|0.25|0.25|1|4",6.39654898643494
20260636,FALSE,0.776255900796167,0.431237511782209,0.564383851194251,0.213303048353997,0.164912280701754,0.963855421686747,0.723314309871064,0.355325064784144,0.594694567744663,0.255735341267671,0.245614035087719,0.943775100401606,0.0529415909251035,0.0759124469980648,"0.25|4|4|0.25|4",6.76196908950806
20260637,FALSE,0.784006200239555,0.44219427145147,0.569900655252589,0.235794134121876,0.171929824561403,0.967871485943775,0.728528147678432,0.347656201125139,0.575882477277531,0.193089352860045,0.228070175438596,0.923694779116466,0.0554780525611223,0.0945380703263311,"4|0.25|0.25|4|1",6.77860903739929
20260638,FALSE,0.77811597266258,0.429662679660874,0.572754174593109,0.23223271868032,0.182456140350877,0.963052208835341,0.787359966180512,0.432229429282865,0.581166772352568,0.235079738182337,0.210526315789474,0.951807228915663,-0.00924399351793193,-0.00256674962199116,"0.25|4|0.25|4|4",6.81614398956299
20260639,FALSE,0.777101388008173,0.427852284372513,0.567638976960473,0.214918730875731,0.175438596491228,0.959839357429719,0.686465158881137,0.378291850570153,0.557598816317903,0.163741019958399,0.175438596491228,0.939759036144578,0.0906362291270356,0.0495604338023595,"0.25|1|1|1|4",6.76272201538086
20260640,FALSE,0.777340942718241,0.426186618900028,0.573599661805115,0.22464175913647,0.192982456140351,0.95421686746988,0.687733389699148,0.32358065635205,0.536778693722257,0.0963048654667524,0.157894736842105,0.91566265060241,0.089607553019093,0.102605962547978,"4|4|0.25|0.25|4",6.54243993759155
20260641,FALSE,0.77474811526809,0.434268231576859,0.564933417882055,0.212658347823476,0.168421052631579,0.96144578313253,0.727682660466426,0.367942656367001,0.587930670048616,0.24555104684111,0.228070175438596,0.947791164658635,0.047065454801663,0.0663255752098579,"1|0.25|1|0.25|0.25",6.6424241065979
20260642,FALSE,0.775142675967026,0.426915093312071,0.563622912703445,0.194021613796537,0.175438596491228,0.951807228915663,0.698372437116889,0.316917245161309,0.541323187486789,0.140471276394719,0.12280701754386,0.959839357429719,0.0767702388501366,0.109997848150762,"4|0.25|4|4|1",6.70626997947693
20260643,FALSE,0.77991967871486,0.431532594505789,0.558761361234411,0.181778946018222,0.164912280701754,0.952610441767068,0.671457760868033,0.277109775287268,0.518495032762629,0.0546216815895608,0.105263157894737,0.931726907630522,0.108461917846827,0.15442281921852,"0.25|4|0.25|0.25|0.25",6.63302206993103
20260644,FALSE,0.780708800112732,0.423790934960186,0.558063834284506,0.18870858640412,0.157894736842105,0.958232931726908,0.751074473331923,0.383078956164431,0.58719086873811,0.268538169689882,0.210526315789474,0.963855421686747,0.0296343267808086,0.0407119787957546,"1|1|4|0.25|0.25",6.6302318572998
20260645,FALSE,0.784950327626295,0.419986353394587,0.551299936588459,0.17496656949299,0.140350877192982,0.962248995983936,0.740083139575847,0.386038593145302,0.550095117311351,0.165779184367102,0.140350877192982,0.959839357429719,0.0448671880504476,0.0339477602492851,"4|0.25|0.25|0.25|0.25",6.95119905471802
20260646,FALSE,0.777820052138378,0.400164146906492,0.553498203339674,0.16856291581249,0.154385964912281,0.952610441767068,0.723525681674063,0.364361751867943,0.577890509406045,0.201003883067067,0.228070175438596,0.927710843373494,0.0542943704643152,0.0358023950385498,"4|0.25|0.25|0.25|0.25",6.68289685249329
20260647,FALSE,0.780539702670331,0.400483553992456,0.547939124920736,0.162143303634569,0.136842105263158,0.959036144578313,0.708800112731628,0.321525102858739,0.532762629465229,0.0833672693406881,0.157894736842105,0.907630522088353,0.0717395899387033,0.0789584511337178,"0.25|4|4|0.25|0.25",6.72882699966431
20260648,FALSE,0.782568871979145,0.402877117818509,0.549291904459945,0.164864118352357,0.140350877192982,0.958232931726908,0.675403367857395,0.287326240603204,0.544071020925809,0.135733838497795,0.140350877192982,0.947791164658635,0.10716550412175,0.115550877215305,"0.25|1|0.25|1|0.25",5.72091698646545
20260649,FALSE,0.779398294934123,0.400523669611324,0.548087085182837,0.15696402327174,0.140350877192982,0.955823293172691,0.682096808285775,0.358547727008241,0.554850982878884,0.168934921295817,0.157894736842105,0.951807228915663,0.0973014866483476,0.0419759426030825,"0.25|0.25|0.25|0.25|0.25",5.63314294815063
